source_code,source_concept_id,source_vocabulary_id,source_description,source_code_description,target_concept_id,target_concept_name,target_vocabulary_id,confidence,method,valid_start_date,valid_end_date,invalid_reason
E11.9,0,Hospital,"Type 2 diabetes mellitus, without complications","Type 2 diabetes mellitus, without complications",44787902,Lipoatrophic diabetes mellitus without complication,SNOMED,10.359390258789062,auto,1970-01-01,2099-12-31,
I10,0,Hospital,Essential (primary) hypertension,Essential (primary) hypertension,320128,Essential hypertension,SNOMED,8.698995590209961,auto,1970-01-01,2099-12-31,
J18.9,0,Hospital,"Pneumonia, unspecified organism","Pneumonia, unspecified organism",4110506,Pneumonia caused by pleuropneumonia-like organism,SNOMED,5.147286891937256,auto,1970-01-01,2099-12-31,
N18.6,0,Hospital,End stage renal disease,End stage renal disease,193782,End-stage renal disease,SNOMED,10.400162696838379,auto,1970-01-01,2099-12-31,
K21.0,0,Hospital,Gastro-esophageal reflux disease with esophagitis,Gastro-esophageal reflux disease with esophagitis,30437,Gastro-esophageal reflux disease with esophagitis,SNOMED,17.64815902709961,auto,1970-01-01,2099-12-31,
M54.5,0,Hospital,Low back pain,Low back pain,194133,Low back pain,SNOMED,9.235158920288086,auto,1970-01-01,2099-12-31,
F32.9,0,Hospital,"Major depressive disorder, single episode, unspecified","Major depressive disorder, single episode, unspecified",4282096,"Major depression, single episode",SNOMED,12.280360221862793,auto,1970-01-01,2099-12-31,
J44.1,0,Hospital,Chronic obstructive pulmonary disease with acute exacerbation,Chronic obstructive pulmonary disease with acute exacerbation,257004,Acute exacerbation of chronic obstructive pulmonary disease,SNOMED,13.552309036254883,auto,1970-01-01,2099-12-31,
MET500,0,Hospital,Metformin 500mg oral tablet,Metformin 500mg oral tablet,40063357,metformin Oral Tablet [Orabet Metformin],RxNorm,6.436172008514404,auto,1970-01-01,2099-12-31,
LISIN10,0,Hospital,Lisinopril 10mg oral tablet,Lisinopril 10mg oral tablet,40000499,lisinopril Oral Tablet,RxNorm,7.109601974487305,auto,1970-01-01,2099-12-31,
ATOR20,0,Hospital,Atorvastatin 20mg oral tablet,Atorvastatin 20mg oral tablet,40095247,atorvastatin Oral Tablet,RxNorm,7.065070152282715,auto,1970-01-01,2099-12-31,
AMOX500,0,Hospital,Amoxicillin 500mg oral capsule,Amoxicillin 500mg oral capsule,40009472,amoxicillin Oral Capsule,RxNorm,6.641001224517822,auto,1970-01-01,2099-12-31,
OMEP20,0,Hospital,Omeprazole 20mg oral capsule,Omeprazole 20mg oral capsule,40118805,omeprazole Extended Release Oral Capsule,RxNorm,6.0614705085754395,auto,1970-01-01,2099-12-31,
ASA81,0,Hospital,Aspirin 81mg oral tablet,Aspirin 81mg oral tablet,40010186,aspirin Oral Tablet [Bayer Aspirin],RxNorm,5.850802898406982,auto,1970-01-01,2099-12-31,
HYDRO25,0,Hospital,Hydrochlorothiazide 25mg oral tablet,Hydrochlorothiazide 25mg oral tablet,40045756,hydrochlorothiazide Oral Tablet,RxNorm,6.117954254150391,auto,1970-01-01,2099-12-31,
