address_1,city,state,zip
123 Oak Street,Springfield,IL,62704
456 Maple Avenue,Austin,TX,78701
789 Pine Road,Atlanta,GA,30301
321 Elm Drive,San Francisco,CA,94102
654 Cedar Lane,Columbus,OH,43215
987 Birch Street,Miami,FL,33101
147 Walnut Court,Chicago,IL,60601
258 Spruce Way,Seattle,WA,98101
369 Ash Boulevard,Denver,CO,80201
741 Poplar Avenue,Boston,MA,2101
852 Hickory Lane,Phoenix,AZ,85001
963 Magnolia Drive,Nashville,TN,37201
174 Cypress Road,Houston,TX,77001
285 Willow Street,Portland,OR,97201
396 Juniper Court,Honolulu,HI,96801
